Timestamp,Second,Sample#,CFPS,Polygons,Ping
2014.06.03-13.47.26,63537400046010.7,196,-,-,-
2014.06.03-13.47.27,63537400047000.7,197,-,-,-
2014.06.03-13.47.28,63537400048020.8,198,-,-,-
2014.06.03-13.47.29,63537400049010.8,199,-,-,-
2014.06.03-13.47.30,63537400050000.9,200,-,-,-
2014.06.03-13.47.31,63537400051020.9,201,-,-,-
2014.06.03-13.47.32,63537400052011,202,-,-,-
2014.06.03-13.47.33,63537400053001.1,203,-,-,-
2014.06.03-13.47.34,63537400054021.1,204,-,-,-
2014.06.03-13.47.35,63537400055011.2,205,-,-,-
2014.06.03-13.47.36,63537400056001.2,206,-,-,-
2014.06.03-13.47.37,63537400057021.3,207,-,-,-
2014.06.03-13.47.38,63537400058011.3,208,-,-,-
2014.06.03-13.47.39,63537400059001.4,209,-,-,-
2014.06.03-13.47.40,63537400060021.5,210,-,-,-
2014.06.03-13.47.41,63537400061011.5,211,-,-,-
2014.06.03-13.47.42,63537400062001.6,212,-,-,-
2014.06.03-13.47.43,63537400063021.6,213,-,-,-
2014.06.03-13.47.44,63537400064011.7,214,-,-,-
2014.06.03-13.47.45,63537400065001.7,215,-,-,-
2014.06.03-13.47.46,63537400066021.8,216,-,-,-
2014.06.03-13.47.47,63537400067011.9,217,-,-,-
2014.06.03-13.47.48,63537400068001.9,218,-,-,-
2014.06.03-13.47.49,63537400069022,219,-,-,-
2014.06.03-13.47.50,63537400070012,220,-,-,-
2014.06.03-13.47.51,63537400071002.1,221,-,-,-
2014.06.03-13.47.52,63537400072022.1,222,-,-,-
2014.06.03-13.47.53,63537400073012.2,223,-,-,-
2014.06.03-13.47.54,63537400074002.3,224,-,-,-
2014.06.03-13.47.55,63537400075022.3,225,-,-,-
2014.06.03-13.47.56,63537400076012.4,226,-,-,-
2014.06.03-13.47.57,63537400077002.4,227,-,-,-
2014.06.03-13.47.58,63537400078022.5,228,-,-,-
2014.06.03-13.47.59,63537400079012.5,229,-,-,-
2014.06.03-13.48.00,63537400080002.6,230,-,-,-
2014.06.03-13.48.01,63537400081022.7,231,-,-,-
2014.06.03-13.48.02,63537400082012.7,232,-,-,-
2014.06.03-13.48.03,63537400083002.8,233,-,-,-
2014.06.03-13.48.04,63537400084022.8,234,-,-,-
2014.06.03-13.48.05,63537400085012.9,235,-,-,-
2014.06.03-13.48.06,63537400086002.9,236,-,-,-
2014.06.03-13.48.07,63537400087023,237,-,-,-
2014.06.03-13.48.08,63537400088013.1,238,-,-,-
2014.06.03-13.48.09,63537400089003.1,239,-,-,-
2014.06.03-13.48.10,63537400090023.2,240,-,-,-
2014.06.03-13.48.11,63537400091013.2,241,-,-,-
2014.06.03-13.48.12,63537400092003.3,242,-,-,-
2014.06.03-13.48.13,63537400093023.3,243,-,-,-
2014.06.03-13.48.14,63537400094013.4,244,-,-,-
2014.06.03-13.48.15,63537400095003.5,245,-,-,-
2014.06.03-13.48.16,63537400096023.5,246,-,-,-
2014.06.03-13.48.17,63537400097013.6,247,-,-,-
2014.06.03-13.48.18,63537400098003.6,248,-,-,-
2014.06.03-13.48.19,63537400099023.7,249,-,-,-
2014.06.03-13.48.20,63537400100013.7,250,-,-,-
2014.06.03-13.48.21,63537400101003.8,251,-,-,-
2014.06.03-13.48.22,63537400102023.9,252,-,-,-
2014.06.03-13.48.23,63537400103013.9,253,-,-,-
2014.06.03-13.48.24,63537400104004,254,-,-,-
2014.06.03-13.48.25,63537400105024,255,-,-,-
2014.06.03-13.48.26,63537400106014.1,256,-,-,-
2014.06.03-13.48.27,63537400107004.1,257,-,-,-
2014.06.03-13.48.28,63537400108023.2,258,-,-,-
2014.06.03-13.48.29,63537400109013.3,259,-,-,-
2014.06.03-13.48.30,63537400110003.3,260,-,-,-
2014.06.03-13.48.31,63537400111023.4,261,-,-,-
2014.06.03-13.48.32,63537400112013.4,262,-,-,-
2014.06.03-13.48.33,63537400113003.5,263,-,-,-
2014.06.03-13.48.34,63537400114023.5,264,-,-,-
2014.06.03-13.48.35,63537400115013.6,265,-,-,-
2014.06.03-13.48.36,63537400116003.6,266,-,-,-
2014.06.03-13.48.37,63537400117023.7,267,-,-,-
2014.06.03-13.48.38,63537400118013.8,268,-,-,-
2014.06.03-13.48.39,63537400119003.8,269,-,-,-
2014.06.03-13.48.40,63537400120023.9,270,-,-,-
2014.06.03-13.48.41,63537400121013.9,271,-,-,-
2014.06.03-13.48.42,63537400122005,272,-,-,-
2014.06.03-13.48.43,63537400123025.1,273,-,-,-
2014.06.03-13.48.44,63537400124015.1,274,-,-,-
2014.06.03-13.48.45,63537400125005.2,275,-,-,-
2014.06.03-13.48.46,63537400126025.2,276,-,-,-
2014.06.03-13.48.47,63537400127015.3,277,-,-,-
2014.06.03-13.48.48,63537400128005.3,278,-,-,-
2014.06.03-13.48.49,63537400129025.4,279,-,-,-
2014.06.03-13.48.50,63537400130015.5,280,-,-,-
2014.06.03-13.48.51,63537400131005.5,281,-,-,-
2014.06.03-13.48.52,63537400132025.6,282,-,-,-
2014.06.03-13.48.53,63537400133015.6,283,-,-,-
2014.06.03-13.48.54,63537400134005.7,284,-,-,-
2014.06.03-13.48.55,63537400135025.7,285,-,-,-
2014.06.03-13.48.56,63537400136015.8,286,-,-,-
2014.06.03-13.48.57,63537400137005.9,287,-,-,-
2014.06.03-13.48.58,63537400138025.9,288,-,-,-
2014.06.03-13.48.59,63537400139016,289,-,-,-
2014.06.03-13.49.00,63537400140006,290,-,-,-
2014.06.03-13.49.01,63537400141026.1,291,-,-,-
2014.06.03-13.49.02,63537400142016.1,292,-,-,-
2014.06.03-13.49.03,63537400143006.2,293,-,-,-
2014.06.03-13.49.04,63537400144026.3,294,-,-,-
2014.06.03-13.49.05,63537400145016.3,295,-,-,-
2014.06.03-13.49.06,63537400146006.4,296,-,-,-
2014.06.03-13.49.07,63537400147026.4,297,-,-,-
2014.06.03-13.49.08,63537400148016.5,298,-,-,-
2014.06.03-13.49.09,63537400149006.5,299,-,-,-
2014.06.03-13.49.10,63537400150026.6,300,-,-,-
2014.06.03-13.49.11,63537400151016.7,301,-,-,-
2014.06.03-13.49.12,63537400152006.7,302,-,-,-
2014.06.03-13.49.13,63537400153026.8,303,-,-,-
2014.06.03-13.49.14,63537400154016.8,304,-,-,-
2014.06.03-13.49.15,63537400155006.9,305,-,-,-
2014.06.03-13.49.16,63537400156026.9,306,-,-,-
2014.06.03-13.49.17,63537400157017,307,-,-,-
2014.06.03-13.49.18,63537400158007.1,308,-,-,-
2014.06.03-13.49.19,63537400159027.1,309,-,-,-
2014.06.03-13.49.20,63537400160017.2,310,-,-,-
2014.06.03-13.49.21,63537400161007.2,311,-,-,-
2014.06.03-13.49.22,63537400162027.3,312,-,-,-
2014.06.03-13.49.23,63537400163017.3,313,-,-,-
2014.06.03-13.49.24,63537400164007.4,314,-,-,-
2014.06.03-13.49.25,63537400165027.5,315,-,-,-
2014.06.03-13.49.26,63537400166017.5,316,-,-,-
2014.06.03-13.49.27,63537400167007.6,317,-,-,-
2014.06.03-13.49.28,63537400168027.6,318,-,-,-
2014.06.03-13.49.29,63537400169017.7,319,-,-,-
2014.06.03-13.49.30,63537400170007.8,320,-,-,-
2014.06.03-13.49.31,63537400171027.8,321,-,-,-
2014.06.03-13.49.32,63537400172017.9,322,-,-,-
2014.06.03-13.49.33,63537400173007.9,323,-,-,-
2014.06.03-13.49.34,63537400174028,324,-,-,-
2014.06.03-13.49.35,63537400175018,325,-,-,-
2014.06.03-13.49.36,63537400176008.1,326,-,-,-
2014.06.03-13.49.37,63537400177028.1,327,-,-,-
2014.06.03-13.49.38,63537400178018.2,328,-,-,-
2014.06.03-13.49.39,63537400179008.3,329,-,-,-
2014.06.03-13.49.40,63537400180028.3,330,-,-,-
2014.06.03-13.49.41,63537400181018.4,331,-,-,-
2014.06.03-13.49.42,63537400182008.4,332,-,-,-
2014.06.03-13.49.43,63537400183028.5,333,-,-,-
2014.06.03-13.49.44,63537400184018.5,334,-,-,-
2014.06.03-13.49.45,63537400185008.6,335,-,-,-
2014.06.03-13.49.46,63537400186028.7,336,-,-,-
2014.06.03-13.49.47,63537400187018.7,337,-,-,-
2014.06.03-13.49.48,63537400188008.8,338,-,-,-
2014.06.03-13.49.49,63537400189028.8,339,-,-,-
2014.06.03-13.49.50,63537400190018.9,340,-,-,-
2014.06.03-13.49.51,63537400191009,341,-,-,-
2014.06.03-13.49.52,63537400192029,342,-,-,-
2014.06.03-13.49.53,63537400193019.1,343,-,-,-
2014.06.03-13.49.54,63537400194009.1,344,-,-,-
2014.06.03-13.49.55,63537400195029.2,345,-,-,-
2014.06.03-13.49.56,63537400196019.2,346,-,-,-
2014.06.03-13.49.57,63537400197009.3,347,-,-,-
2014.06.03-13.49.58,63537400198029.4,348,-,-,-
2014.06.03-13.49.59,63537400199019.4,349,-,-,-
2014.06.03-13.50.00,63537400200009.5,350,-,-,-
2014.06.03-13.50.01,63537400201029.5,351,-,-,-
2014.06.03-13.50.02,63537400202019.6,352,-,-,-
2014.06.03-13.50.03,63537400203009.6,353,-,-,-
2014.06.03-13.50.04,63537400204029.7,354,-,-,-
2014.06.03-13.50.05,63537400205019.8,355,-,-,-
2014.06.03-13.50.06,63537400206009.8,356,-,-,-
2014.06.03-13.50.07,63537400207029.9,357,-,-,-
2014.06.03-13.50.08,63537400208021.9,358,-,-,-
2014.06.03-13.50.09,63537400209012,359,-,-,-
2014.06.03-13.50.10,63537400210002,360,-,-,-
2014.06.03-13.50.11,63537400211022.1,361,-,-,-
2014.06.03-13.50.12,63537400212012.1,362,-,-,-
2014.06.03-13.50.13,63537400213002.2,363,-,-,-
2014.06.03-13.50.14,63537400214022.3,364,-,-,-
2014.06.03-13.50.15,63537400215012.3,365,-,-,-
2014.06.03-13.50.16,63537400216002.4,366,-,-,-
2014.06.03-13.50.17,63537400217022.4,367,-,-,-
2014.06.03-13.50.18,63537400218012.5,368,-,-,-
2014.06.03-13.50.19,63537400219002.5,369,-,-,-
2014.06.03-13.50.20,63537400220022.6,370,-,-,-
2014.06.03-13.50.21,63537400221012.7,371,-,-,-
2014.06.03-13.50.22,63537400222002.7,372,-,-,-
2014.06.03-13.50.23,63537400223022.8,373,-,-,-
2014.06.03-13.50.24,63537400224012.8,374,-,-,-
2014.06.03-13.50.25,63537400225002.9,375,-,-,-
2014.06.03-13.50.26,63537400226023,376,-,-,-
2014.06.03-13.50.27,63537400227013,377,-,-,-
2014.06.03-13.50.28,63537400228003.1,378,-,-,-
2014.06.03-13.50.29,63537400229023.1,379,-,-,-
2014.06.03-13.50.30,63537400230013.2,380,-,-,-
2014.06.03-13.50.31,63537400231003.2,381,-,-,-
2014.06.03-13.50.32,63537400232023.3,382,-,-,-
2014.06.03-13.50.33,63537400233013.4,383,-,-,-
2014.06.03-13.50.34,63537400234003.4,384,-,-,-
2014.06.03-13.50.35,63537400235023.5,385,-,-,-
2014.06.03-13.50.36,63537400236013.5,386,-,-,-
2014.06.03-13.50.37,63537400237003.6,387,-,-,-
2014.06.03-13.50.38,63537400238023.6,388,-,-,-
2014.06.03-13.50.39,63537400239013.7,389,-,-,-
2014.06.03-13.50.40,63537400240003.8,390,-,-,-
2014.06.03-13.50.41,63537400241023.8,391,-,-,-
2014.06.03-13.50.42,63537400242013.9,392,-,-,-
2014.06.03-13.50.43,63537400243003.9,393,-,-,-
2014.06.03-13.50.44,63537400244024,394,-,-,-
2014.06.03-13.50.45,63537400245014,395,-,-,-
2014.06.03-13.50.46,63537400246004.1,396,-,-,-
2014.06.03-13.50.47,63537400247024.2,397,-,-,-
2014.06.03-13.50.48,63537400248014.2,398,-,-,-
2014.06.03-13.50.49,63537400249004.3,399,-,-,-
2014.06.03-13.50.50,63537400250024.3,400,-,-,-
2014.06.03-13.50.51,63537400251014.4,401,-,-,-
2014.06.03-13.50.52,63537400252004.4,402,-,-,-
2014.06.03-13.50.53,63537400253024.5,403,-,-,-
2014.06.03-13.50.54,63537400254014.6,404,-,-,-
2014.06.03-13.50.55,63537400255004.6,405,-,-,-
2014.06.03-13.50.56,63537400256024.7,406,-,-,-
2014.06.03-13.50.57,63537400257014.7,407,-,-,-
2014.06.03-13.50.58,63537400258004.8,408,-,-,-
2014.06.03-13.50.59,63537400259024.8,409,-,-,-
2014.06.03-13.51.00,63537400260014.9,410,-,-,-
2014.06.03-13.51.01,63537400261004.9,411,-,-,-
2014.06.03-13.51.02,63537400262025,412,-,-,-
2014.06.03-13.51.03,63537400263015.1,413,-,-,-
2014.06.03-13.51.04,63537400264005.1,414,-,-,-
2014.06.03-13.51.05,63537400265025.2,415,-,-,-
2014.06.03-13.51.06,63537400266015.2,416,-,-,-
2014.06.03-13.51.07,63537400267005.3,417,-,-,-
2014.06.03-13.51.08,63537400268025.3,418,-,-,-
2014.06.03-13.51.09,63537400269015.4,419,-,-,-
2014.06.03-13.51.10,63537400270005.5,420,-,-,-
2014.06.03-13.51.11,63537400271025.5,421,-,-,-
2014.06.03-13.51.12,63537400272015.6,422,-,-,-
2014.06.03-13.51.13,63537400273005.6,423,-,-,-
2014.06.03-13.51.14,63537400274025.7,424,-,-,-
2014.06.03-13.51.15,63537400275015.8,425,-,-,-
2014.06.03-13.51.16,63537400276005.8,426,-,-,-
2014.06.03-13.51.17,63537400277025.9,427,-,-,-
2014.06.03-13.51.18,63537400278015.9,428,-,-,-
2014.06.03-13.51.19,63537400279006,429,-,-,-
2014.06.03-13.51.20,63537400280026,430,-,-,-
2014.06.03-13.51.21,63537400281016.1,431,-,-,-
